Наименование,ИНН,Номер лицензии,Дата выдачи лицензии,Регион
"ООО ТОРГОВЫЙ ДОМ ""ХАБИБ""",1650140575,А-05002299,6/1/2006,16
"ООО Торговый Дом ""Лотос - П""",1650140568,А05003097,6/8/2011,16
"ООО Торговый Дом ""Лотос - П""",1650140568,А-05002345,6/19/2006,16
"ООО Фирма ""Идеал""",1650132944,А05003105,6/23/2011,16
"Общество с ограниченной ответственностью ""АЛЛО+""",1650213142,А05003014,1/18/2011,16
"Общество с ограниченной ответственностью ""Алмаз-Н""",1650226092,А05003257,12/5/2011,16
"Общество с ограниченной ответственностью ""Галяува""",1650219923,А05003081,5/26/2011,16
"Общество с ограниченной ответственностью ""Гриль Бар Камин""",1650215855,А05003027,2/17/2011,16
"Общество с ограниченной ответственностью ""К1""",1650205504,А05003231,11/2/2011,16
"Общество с ограниченной ответственностью ""КРИС""",1650094872,А05003006,12/27/2010,16
"Общество с ограниченной ответственностью ""КУБА 75""",1650207759,А05002954,8/2/2010,16
"Общество с ограниченной ответственностью ""Каймак""",1650208054,А05002985,11/15/2010,16
"Общество с ограниченной ответственностью ""Путь Одиссея""",1650188810,А05003022,2/16/2011,16
"Общество с ограниченной ответственностью ""РОЙАЛ""",1650210470,А05002999,12/15/2010,16
"Общество с ограниченной ответственностью ""Ретро Стар""",1650225042,А05003270,12/14/2011,16
"Общество с ограниченной ответственностью ""Хлебосол""",1650204388,А05002915,5/13/2010,16
"Общество с ограниченной ответственностью ""Шантарель НЧ""",1650225518,А05003173,8/12/2011,16
"Общество с ограниченной ответственностью ""АЗАМАТ НЧ""",1650195895,А05003249,11/28/2011,16
"Общество с ограниченной ответственностью ""Агерро""",1650207163,А05003116,7/1/2011,16
"Общество с ограниченной ответственностью ""АйнРат""",1650198060,А-05002842,10/23/2009,16
"Общество с ограниченной ответственностью ""Анрайс""",1650135102,А05003051,4/6/2011,16
"Общество с ограниченной ответственностью ""Арагва""",1650192728,А-05002839,10/12/2009,16
"Общество с ограниченной ответственностью ""Арарат""",1650109399,А05003069,4/27/2011,16
"Общество с ограниченной ответственностью ""Астра""",1650217997,А05003245,11/23/2011,16
"Общество с ограниченной ответственностью ""Баяр""",1650189330,А-05002826,7/10/2009,16
"Общество с ограниченной ответственностью ""Берлога""",1663001272,А-05002473,7/1/2006,16
"Общество с ограниченной ответственностью ""Бордо""",1650185417,А-05002834,9/1/2009,16
"Общество с ограниченной ответственностью ""Бреакан""",1664000289,А-05002408,7/1/2006,16
"Общество с ограниченной ответственностью ""Бэхет Юлы""",1650200577,А05003010,12/29/2010,16
"Общество с ограниченной ответственностью ""Бэхет Юлы""",1650200577,А05003125,7/7/2011,16
"Общество с ограниченной ответственностью ""Винт Ко""",1650200295,А05003299,1/27/2012,16
"Общество с ограниченной ответственностью ""Водолей""",1650135448,А05003052,4/6/2011,16
"Общество с ограниченной ответственностью ""Время""",1650141410,А05003220,10/24/2011,16
"Общество с ограниченной ответственностью ""ГЛАВК""",1650196842,А-05002851,12/11/2009,16
"Общество с ограниченной ответственностью ""ДЭС""",1650173620,А05002922,5/27/2010,16
"Общество с ограниченной ответственностью ""Забава""",1650215140,А05003021,2/9/2011,16
"Общество с ограниченной ответственностью ""Забава""",1650215140,А05003218,10/18/2011,16
"Общество с ограниченной ответственностью ""Знатный""",1650200457,А05003061,4/14/2011,16
"Общество с ограниченной ответственностью ""Инфосервис""",1650123555,А-05002846,11/3/2009,16
"Общество с ограниченной ответственностью ""Леонат""",1650200305,А05002973,10/8/2010,16
"Общество с ограниченной ответственностью ""Леонат""",1650200305,А05002997,12/10/2010,16
"Общество с ограниченной ответственностью ""Либирэйт""",1650188520,А-05002824,7/1/2009,16
"Общество с ограниченной ответственностью ""М -105""",1604003172,А-05002389,4/16/2007,16
"Общество с ограниченной ответственностью ""М -105""",1604003172,А05002903,4/16/2010,16
"Общество с ограниченной ответственностью ""М -105""",1604003172,А05003184,8/26/2011,16
"Общество с ограниченной ответственностью ""М -105""",1604003172,А-05002389,6/26/2006,16
"Общество с ограниченной ответственностью ""Подсолнух Плюс""",1650200626,А05003104,6/20/2011,16
"Общество с ограниченной ответственностью ""Продукты от Солодова""",1639019670,А05003274,12/15/2011,16
"Общество с ограниченной ответственностью ""Пятая Империя""",1650199466,А-05002863,12/28/2009,16
"Общество с ограниченной ответственностью ""РеалТорг""",1650199522,А05003049,4/5/2011,16
"Общество с ограниченной ответственностью ""С.Д.ИКС-Групп""",1650206917,А05002934,6/23/2010,16
"Общество с ограниченной ответственностью ""СЛАВНЫЙ 1""",1650218013,А05003039,3/9/2011,16
"Общество с ограниченной ответственностью ""Саяны""",1650065617,А05003085,5/27/2011,16
"Общество с ограниченной ответственностью ""Саяны""",1650065617,А05003202,9/22/2011,16
"Общество с ограниченной ответственностью ""Стимул+""",1650200545,А05003098,6/15/2011,16
"Общество с ограниченной ответственностью ""Стимул+""",1650200545,А05003166,8/5/2011,16
"Общество с ограниченной ответственностью ""Тахир""",1650144153,А05003226,10/27/2011,16
"Общество с ограниченной ответственностью ""Тахир""",1650144153,А05003252,11/30/2011,16
"Общество с ограниченной ответственностью ""Торговая фирма ""Океан""",1650129540,А05003113,6/29/2011,16
"Общество с ограниченной ответственностью ""Торговый Дом Морозко""",1650227522,А05003234,11/11/2011,16
"Общество с ограниченной ответственностью ""Торговый дом Лидер""",1650200930,А05003120,7/4/2011,16
"Общество с ограниченной ответственностью ""Трио-Виктория""",1650230500,А05003277,12/16/2011,16
"Общество с ограниченной ответственностью ""У БАЕВА""",1650191883,А05003182,8/25/2011,16
"Общество с ограниченной ответственностью ""Фаворит""",1650225490,А05003285,12/26/2011,16
"Общество с ограниченной ответственностью ""Эконом плюс""",1650230589,А05003284,12/26/2011,16
"Общество с ограниченной ответственностью ""Эликон""",1650025117,А-05002291,7/17/2008,16
"Общество с ограниченной ответственностью ""Эликон""",1650025117,А-05002291,5/30/2006,16
"Общество с ограниченной ответственностью ""ЮлиЯ""",1650204532,А05002989,12/1/2010,16
"Общество с ограниченной ответственностью ""ЮлиЯ""",1650204532,А05003047,3/29/2011,16
"Открытое акционерное общество ""Октябрьское""",1650090613,А05003099,6/18/2011,16
"ПО ""Тукаевский кооператор""",1639032953,А-05002306,6/2/2006,16
"ЗАО ""Форвард""",277028422,А05000166,6/28/2006,27
"ЗАО ""Форвард""",277028422,А05000166,11/2/2006,27
"ЗАО ""Форвард""",277028422,А05000166,4/5/2007,27
"ЗАО ""Форвард""",277028422,А05000166,6/5/2009,27
"ЗАО ""Форвард""",277028422,А05000166,7/24/2009,27
"ЗАО ""Форвард""",277028422,А05000422,11/26/2010,27
"ЗАО ""Форвард""",277028422,А05000437,12/28/2010,27
"ЗАО ""Форвард""",277028422,А05000439,12/31/2010,27
"ЗАО ""Форвард""",277028422,А05000568,11/8/2011,27
"ОАО ""Нижнекамский хлебокомбинат""",1651000316,А05000320,5/5/2008,16
"ОАО ""ТАНЕКО""",1651044095,А05000289,7/26/2007,16
"ООО ""Рагерс""",1651002627,А05000557,10/19/2011,16
"ООО ""АВАКС""",1651026025,А05000448,3/5/2011,16
"ООО ""АВЕКО""",1651064006,А05000543,9/29/2011,16
"ООО ""АИФ""",1651047064,А05000276,3/16/2007,16
"ООО ""АИФ""",1651047064,А05000415,10/15/2010,16
"ООО ""АИФ""",1651047064,А05000459,4/5/2011,16
"ООО ""АРИС""",1651037838,А05000269,1/12/2007,16
"ООО ""АРИС""",1651037838,А05000596,12/26/2011,16
"ООО ""Абсолют-НК""",1651048029,А05000333,11/13/2008,16
"ООО ""Абсолют-НК""",1651048029,А05000333,11/5/2009,16
"ООО ""Абсолют-НК""",1651048029,А05000500,7/5/2011,16
"ООО ""Абсолют-НК""",1651048029,А05000524,8/16/2011,16
"ООО ""Ай Су""",1651045910,А05000539,9/14/2011,16
"ООО ""Ансат""",1651046487,А05000148,6/15/2006,16
"ООО ""БОР""",1651063757,А05000559,10/20/2011,16
"ООО ""Бавария""",1651048420,А05000575,12/5/2011,16
"ООО ""Бастион""",1651054992,А05000331,12/10/2008,16
"ООО ""Блик""",1651050860,А05000293,9/4/2007,16
"ООО ""Блик""",1651050860,А05000593,12/23/2011,16
"ООО ""Блик""",1651050860,А05000599,12/28/2011,16
"ООО ""Бэлла""",1651046896,А05000208,7/7/2006,16
"ООО ""В.А.Ш.+С""",1651046448,А05000339,1/12/2009,16
"ООО ""Валентина""",1647012083,А05000526,8/18/2011,16
"ООО ""Гавань""",1651048727,А05000259,12/8/2006,16
"ООО ""Гульсуяр""",1651050532,А05000344,5/27/2009,16
"ООО ""Гурман""",1651058531,А05000584,12/19/2011,16
"ООО ""Дуслык - НК""",1651046600,А05000157,7/1/2006,16
"ООО ""Жемчужина""",1651052106,А05000316,3/13/2008,16
"ООО ""Жемчужина""",1651059454,А05000549,10/5/2011,16
"ООО ""ИБИЦА""",1651062898,А05000513,7/25/2011,16
"ООО ""Ирина-НК""",1651048163,А05000254,11/16/2006,16
"ООО ""Ирина-НК""",1651048163,А05000558,10/20/2011,16
"ООО ""КАНЭП""",1651045892,А05000364,1/11/2010,16
"ООО ""Каенлы-РГ""",1651047890,А05000250,11/10/2006,16
"ООО ""Каенлы-РГ""",1651047890,А05000561,10/25/2011,16
"ООО ""Камский рассвет""",1651053396,А05000350,6/16/2009,16
"ООО ""Камтрак - сервис""",1651051896,А05000345,3/16/2009,16
"ООО ""Кедр-НК""",1651046409,А05000214,7/13/2006,16
"ООО ""Кедр-НК""",1651046409,А05000214,12/10/2007,16
"ООО ""Кедр-НК""",1651046409,А05000214,7/1/2009,16
"ООО ""Кедр-НК""",1651046409,А05000401,8/6/2010,16
"ООО ""Кедр-НК""",1651046409,А05000534,9/7/2011,16
"ООО ""Кедр-НК""",1651046409,А05000537,9/13/2011,16
"ООО ""Кино""",1651051889,А05000353,7/6/2009,16
"ООО ""Кино""",1651051889,А05000353,11/11/2009,16
"ООО ""Кино""",1651051889,А05000463,4/11/2011,16
"ООО ""Кино""",1651051889,А05000490,6/28/2011,16
"ООО ""Комбинат питания ""Шинник""",1651042179,А05000604,12/30/2011,16
"ООО ""Комфорт-Клуб""",1651044659,А05000347,5/7/2009,16
"ООО ""Космос""",1651046423,А05000160,7/1/2006,16
"ООО ""Космос""",1651046423,А05000160,3/16/2007,16
"ООО ""Космос""",1651046423,А05000160,10/6/2009,16
"ООО ""Космос""",1651046423,А05000438,12/28/2010,16
"ООО ""Миссия""",1651047307,А05000548,10/4/2011,16
"ООО ""Николас""",1651046712,А05000491,6/30/2011,16
"ООО ""РаМус-Сити""",1651046134,А05000154,12/1/2006,16
"ООО ""Реванш""",1651046720,А05000489,6/27/2011,16
"ООО ""Родничок""",1651046688,А05000145,6/9/2006,16
"ООО ""Сентябрь""",1651051663,А05000311,12/13/2007,16
"ООО ""Синема пять - Бар""",1651063796,А05000601,12/29/2011,16
"ООО ""Сплит""",1651038976,А05000138,5/18/2006,16
"ООО ""Сплит""",1651038976,А05000138,10/7/2008,16
"ООО ""Сплит""",1651038976,А05000138,7/30/2009,16
"ООО ""Сплит""",1651038976,А05000408,9/29/2010,16
"ООО ""Сусанна""",1651047071,А05000405,9/8/2010,16
"ООО ""ТОСТ""",1651047699,А05000240,8/25/2006,16
"ООО ""ТОСТ""",1651047699,А05000240,12/12/2007,16
"ООО ""Тафгай""",1651060410,А05000595,12/24/2011,16
"ООО ""Тиолда""",1651046960,А05000178,6/29/2006,16
"ООО ""Тюльпан""",1651046783,А05000525,8/17/2011,16
"ООО ""Фактория""",1651046575,А05000336,11/18/2008,16
"ООО ""Фактория""",1651046575,А05000336,12/9/2008,16
"ООО ""Фактория""",1651046575,А05000336,12/18/2008,16
"ООО ""Фактория""",1651046575,А05000336,6/19/2009,16
"ООО ""Фактория""",1651046575,А05000336,9/21/2009,16
"ООО ""Фактория""",1651046575,А05000336,12/3/2009,16
"ООО ""Фактория""",1651046575,А05000376,3/5/2010,16
"ООО ""Фактория""",1651046575,А05000381,3/23/2010,16
"ООО ""Фактория""",1651046575,А05000388,4/16/2010,16
"ООО ""Фактория""",1651046575,А05000392,4/27/2010,16
"ООО ""Фактория""",1651046575,А05000431,12/16/2010,16
"ООО ""Фактория""",1651046575,А05000495,6/30/2011,16
"ООО ""Фактория""",1651046575,А05000520,8/9/2011,16
"ООО ""Фактория""",1651046575,А05000553,10/14/2011,16
"ООО ""Фактория""",1651046575,А05000573,12/1/2011,16
"ООО ""Фактория""",1651046575,А05000579,12/12/2011,16
"ООО ""Фактория""",1651046575,А05000581,12/15/2011,16
"ООО ""ХАТЭКС""",1651046374,А05000150,6/16/2006,16
"ООО ""ХАТЭКС""",1651046374,А05000150,10/25/2007,16
"ООО ""ХАТЭКС""",1651046374,А05000150,11/10/2009,16
"ООО ""ЭлДан""",1651062915,А05000482,6/15/2011,16
"ООО ""Юган-Алко""",1651037852,А05000144,6/9/2006,16
"ООО ""Юган-Алко""",1651037852,А05000144,7/1/2006,16
"ООО ""Юган-Алко""",1651037852,А05000144,9/10/2007,16
"ООО ""Юган-Алко""",1651037852,А05000144,3/30/2009,16
"ООО ""Юган-Алко""",1651037852,А05000600,12/28/2011,16
"ООО ""ЯЛ""",1651052554,А05000326,8/1/2008,16
"ООО ""ЯЛ""",1651052554,А05000375,2/18/2010,16
"ООО ""Ялкын""",1651046230,А05000397,7/14/2010,16
"ООО ""Ялкын""",1651046230,А05000407,9/27/2010,16
"ООО ""Ялкын""",1651046230,А05000441,1/26/2011,16
"ООО ""Ялкын""",1651046230,А05000499,7/5/2011,16
"ООО ""Ялкын""",1651046230,А05000556,10/17/2011,16
"ООО ""Ялкын""",1651046230,А05000577,12/7/2011,16
"ООО ""Яшьлек-НК""",1651047226,А05000235,8/21/2006,16
"ООО ""Яшьлек-НК""",1651047226,А05000235,3/6/2009,16
"ООО Развлекательный комплекс ""Джалиль""",1651026635,А05000201,10/27/2009,16
"ООО Торговая компания ""Тимерхан""",1651033946,А05000131,6/1/2006,16
"ООО Торговая компания ""Тимерхан""",1651033946,А05000131,12/8/2006,16
"ООО Торговая компания ""Хыял""",1651046705,А05000328,8/14/2008,16
"ООО Торговая компания ""Хыял""",1651046705,А05000328,3/6/2009,16
"ООО Торговая компания ""Хыял""",1651046705,А05000328,5/21/2009,16
"ООО Торговая компания ""Шешма""",1651047755,А05000606,1/31/2012,16
"ООО Торговый дом ""Раздолье""",1651016281,А05000110,3/29/2006,16
"ООО Торговый дом ""Раздолье""",1651016281,А05000110,5/26/2009,16
"ООО Торговый дом ""Раздолье""",1651016281,А05000110,6/19/2009,16
"ООО магазин ""Березка""",1651051455,А05000303,11/1/2007,16
"ООО ресторан ""Кристалл""",1651015672,А05000158,7/1/2006,16
"ООО ""РИКО ЛТД""",1832089330,А05000505,7/15/2011,18
"ЗАО ""ТАНДЕР""",2310031475,А-05888888,1/1/1995,23
"ЗАО ""ТАНДЕР""",2310031475,А05013401,9/21/2011,23
"ЗАО ""ТАНДЕР""",2310031475,А05013493,11/14/2011,23
"ЗАО ""ТАНДЕР""",2310031475,А05013518,12/1/2011,23
"ЗАО ""ТАНДЕР""",2310031475,А05001272,11/3/2010,23
"ЗАО ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110,А-05012689,12/16/2008,77
"ЗАО ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110,А-05012689,6/17/2009,77
"ОАО ""Азык""",1658017358,А05014754,12/3/2009,16
"ОАО ""Азык""",1658017358,А05014915,1/27/2010,16
"ОАО ""Азык""",1658017358,А-05001194,9/10/2010,16
"ОАО ""Азык""",1658017358,А05001216,9/23/2010,16
"ООО "" ТД Челны-Хлеб""",1650079472,А-05002856,12/22/2009,16
"ООО "" ТД Челны-Хлеб""",1650079472,А05002968,9/29/2010,16
"ООО "" ТД Челны-Хлеб""",1650079472,А05002971,10/9/2010,16
"ООО ""Агроторг""",7825706086,А05013284,7/22/2011,78
"ООО ""Агроторг""",7825706086,А05013372,8/29/2011,78
"ООО ""Агроторг""",7825706086,А05013391,9/14/2011,78
"ООО ""Алжан"", г. Нижнекамск, пр-кт Строителей, 25 А",1651044803,А05000321,12/12/2008,16
"ООО ""Алжан"", г. Нижнекамск, пр-кт Строителей, 25 А",1651044803,А05000321,9/24/2009,16
"ООО ""Алжан"", г. Нижнекамск, пр-кт Строителей, 25 А",1651044803,А05000391,4/23/2010,16
"ООО ""Гостиничный комплекс ""Парадиз""",1651033390,А05000200,7/6/2006,16
"ООО ""Лидер - Фудс""",1651051430,А05000452,3/15/2011,16
"ООО ""НЬЮТОН-НК""",1651063450,А05000516,8/1/2011,16
"ООО ""Оптовик""",1646014874,А-05002288,12/15/2006,16
"ООО ""Рич Лайф""",1651059567,А05000424,12/1/2010,16
"ООО ""Родник""",1651063940,А05000535,9/8/2011,16
"ООО ""ТаМа""",1651029594,А05000357,10/6/2009,16
"ООО ""Шараб""",1651057922,А05000359,11/23/2009,16
"ООО ""Шараб""",1651057922,А05000533,9/7/2011,16
"ООО ТД ""Камилла""",1650090860,А-05002708,11/15/2007,16
"ООО ТД ""Камилла""",1650090860,А-05002708,12/14/2007,16
"ООО ТД ""Камилла""",1650090860,А-05002708,12/28/2007,16
"ООО ТД ""Камилла""",1650090860,А-05002708,3/31/2008,16
"ООО ТД ""Камилла""",1650090860,А-05002708,5/31/2008,16
"ООО ТД ""Камилла""",1650090860,А-05002708,8/13/2008,16
"ООО ТД ""Камилла""",1650090860,А-05002708,11/5/2008,16
"ООО фирма ""Камский бриз""",1651010530,А05000124,4/17/2006,16
"ООО фирма ""Камский бриз""",1651010530,А05000124,4/1/2009,16
"ООО фирма ""Камский бриз""",1651010530,А05000124,6/22/2009,16
"ООО фирма ""Камский бриз""",1651010530,А05000508,7/18/2011,16
"ООО фирма ""Камский бриз""",1651010530,А05000566,11/3/2011,16
"ООО""Фуд-Сервис""",1644044136,А-05008715,3/18/2011,16
"Общество с ограниченной ответственностью ""КАМА-БЭТА""",1651033262,А05000519,8/9/2011,16
"Общество с ограниченной ответственностью ""Пронто-Челны""",1650225684,А05003206,9/27/2011,16
"Общество с ограниченной ответственностью ""Риол""",1651058193,А05000363,12/23/2009,16
"Общество с ограниченной ответственностью ""Управление общественного питания ""Нефтехим""",1651027029,А05000198,7/5/2006,16
"Общество с ограниченной ответственностью ""Управление общественного питания ""Нефтехим""",1651027029,А05000198,3/24/2009,16
"Общество с ограниченной ответственностью ""Управление общественного питания ""Нефтехим""",1651027029,А05000198,11/10/2009,16
"Общество с ограниченной ответственностью ""Якорь""",1651025624,А05000362,12/22/2009,16
"ООО ""Каенлы-РГ""",1651047890,А05000510,7/19/2011,16
"ООО ""Каенлы-РГ""",1651047890,А05000541,9/26/2011,16
"ЗАО ""Кулон""",1660031350,А-05013270,7/14/2011,16
"ООО ""Айгуль""",1631003936,А-05010299,12/25/2007,16
"ООО ""Алсу""",1631004256,А-05010335,8/25/2009,16
"ООО ""Диана""",1631004305,А-05010347,12/11/2009,16
"ООО ""Заман""",1631003911,А-05010264,3/14/2007,16
"ООО ""ИВА""",1631004263,А-05010337,8/27/2009,16
"ООО ""Коопторг""",1652009086,А-05010401,12/31/2010,16
"ООО ""Коопторг""",1652009086,А-05010512,12/27/2011,16
"ООО ""РОДНИК""",1631003816,А-05010501,12/9/2011,16
"ООО ""Сатурн""",1631004351,А-05010491,11/2/2011,16
"ООО ""Тюльпан""",1631003904,А-05010265,3/19/2007,16
"ООО ""Уют""",1631004432,А-05010489,10/18/2011,16
"ООО ""Чишма""",1631003870,А-05010256,12/26/2006,16
"ООО фирма ""Камский бриз""",1651010530,А05000124,6/30/2008,16
"ООО фирма ""Камский бриз""",1651010530,А05000590,12/22/2011,16
"Общество с ограниченной ответственностью ""Алан""",1631003693,А-05010189,7/12/2006,16
"Общество с ограниченной ответственностью ""Александр""",1631003742,А-05010204,7/25/2006,16
"Общество с ограниченной ответственностью ""Булат""",1631003647,А-05010139,6/30/2006,16
"Общество с ограниченной ответственностью ""Булат""",1631003647,А-05010139,12/25/2006,16
"Общество с ограниченной ответственностью ""ГРАНД""",1652012610,А-05010147,7/1/2006,16
"Общество с ограниченной ответственностью ""Диал""",1631003703,А-05010442,7/5/2011,16
"Общество с ограниченной ответственностью ""Заман""",1631003710,А-05010454,7/18/2011,16
"Общество с ограниченной ответственностью ""Лидер""",1631003573,А-05010504,12/15/2011,16
"Общество с ограниченной ответственностью ""Марина""",1631003686,А-05010446,7/7/2011,16
"Общество с ограниченной ответственностью ""Мария""",1631003598,А-05010096,4/18/2006,16
"Общество с ограниченной ответственностью ""Мария""",1631003598,А-05010096,7/10/2007,16
"Общество с ограниченной ответственностью ""ОАЗИС""",1631003809,А-05010214,8/7/2006,16
"Общество с ограниченной ответственностью ""Пегас""",1631003799,А-05010471,8/15/2011,16
"Общество с ограниченной ответственностью ""Радуга""",1631003679,А-05010132,6/30/2006,16
"Общество с ограниченной ответственностью ""Радуга""",1631003679,А-05010441,7/5/2011,16
"Общество с ограниченной ответственностью ""Фирма ""Раздолье""",1631003566,А-05010160,7/6/2006,16
"Общество с ограниченной ответственностью ""Шатлык""",1631003774,А-05010227,9/14/2006,16
"ООО ""Агроторг""",7825706086,А05013311,7/29/2011,78
"ООО ""Альтаир""",1632011224,А-05010326,2/4/2009,16
"ООО ""Альфа""",1632010397,А-05010285,8/8/2007,16
"ООО ""Ассорти""",1632010132,А-05010269,4/20/2007,16
"ООО ""Ваш выбор+""",1632011190,А-05010328,4/28/2009,16
"ООО ""Ваш выбор+""",1632011190,А-05010328,8/3/2009,16
"ООО ""Ваш выбор+""",1632011190,А-05010328,8/18/2009,16
"ООО ""Вероника""",1632010661,А-05010343,11/16/2009,16
"ООО ""Виктория плюс""",1632010492,А-05010291,10/15/2007,16
"ООО ""Жихан""",1632009627,А-05010514,12/29/2011,16
"ООО ""Заречье""",1632010580,А-05010296,12/17/2007,16
"ООО ""ИВА""",1632013969,А-05010496,11/25/2011,16
"ООО ""ИВА""",1632013969,А-05010511,12/27/2011,16
"ООО ""Изабелла""",1632010598,А-05010303,2/22/2008,16
"ООО ""Изабелла""",1632010598,А-05010412,4/4/2011,16
"ООО ""Изабелла""",1632010598,А-05010495,11/25/2011,16
"ООО ""Калейдоскоп""",1632011143,А-05010317,12/5/2008,16
"ООО ""Калинка""",1632010365,А-05010284,8/8/2007,16
"ООО ""Ландыш""",1632010439,А-05010293,10/30/2007,16
"ООО ""Лиана""",1632010414,А-05010287,8/8/2007,16
"ООО ""Лидия""",1632010189,А-05010275,5/24/2007,16
"ООО ""Лидия""",1632010189,А-05010275,11/12/2009,16
"ООО ""Лилия""",1632011496,А-05010334,8/21/2009,16
"ООО ""Медуница""",1632010333,А-05010292,10/30/2007,16
"ООО ""Менча""",1632010358,А-05010286,8/8/2007,16
"ООО ""Перспектива""",1632008535,А-05010297,12/21/2007,16
"ООО ""ПиК""",1632009916,А-05010278,7/19/2007,16
"ООО ""ПиК""",1632009916,А-05010457,7/19/2011,16
"ООО ""Подарок""",1632010380,А-05010288,8/8/2007,16
"ООО ""Регина""",1632012186,А-05010407,3/10/2011,16
"ООО ""Рубин""",1632009850,А-05010253,12/20/2006,16
"ООО ""Рябинушка""",1632010904,А-05010310,8/28/2008,16
"ООО ""СОЦТОРГСЕРВИС""",1632005679,А-05010406,2/21/2011,16
"ООО ""СОЦТОРГСЕРВИС""",1632005679,А-05010413,4/5/2011,16
"ООО ""СОЦТОРГСЕРВИС""",1632005679,А-05010427,5/25/2011,16
"ООО ""Северное""",1632009539,А-05010507,12/19/2011,16
"ООО ""Сосипаторов""",1632011538,А-05010341,10/5/2009,16
"ООО ""Суар""",1632011009,А-05010309,8/6/2008,16
"ООО ""Суар""",1632011009,А-05010436,6/28/2011,16
"ООО ""Сыйфат""",1632011560,А-05010342,10/22/2009,16
"ООО ""Туфан""",1632014024,А-05010513,12/29/2011,16
"ООО ""Урняк""",1632011457,А-05010340,9/11/2009,16
"ООО ""Чистый родник""",1632010622,А-05010298,12/24/2007,16
"ООО ""Чишма""",1632010340,А-05010280,7/19/2007,16
"ООО ""Эльмира""",1632011383,А-05010351,12/30/2009,16
"ООО ""Эмма""",1632008800,А-05010316,12/1/2008,16
"ООО ""Юлдаш+5""",1632013630,А-05010440,7/1/2011,16
ООО Визит,1632011506,А-05010338,9/2/2009,16
"Общество с ограниченной ответственностью ""АДОНИС""",1632007186,А-05010273,5/18/2007,16
"Общество с ограниченной ответственностью ""АДОНИС""",1632007186,А-05010388,9/14/2010,16
"Общество с ограниченной ответственностью ""Абсолют""",1632009602,А-05010170,7/7/2006,16
"Общество с ограниченной ответственностью ""Абсолют""",1632009602,А-05010502,12/9/2011,16
"Общество с ограниченной ответственностью ""Ажур""",1632008856,А-05010097,4/20/2006,16
"Общество с ограниченной ответственностью ""Ажур""",1632008856,А-05010097,5/18/2009,16
"Общество с ограниченной ответственностью ""Белая Леди""",1632009560,А-05010469,8/8/2011,16
"Общество с ограниченной ответственностью ""Вита плюс""",1632008581,А-05010408,3/28/2011,16
"Общество с ограниченной ответственностью ""Евро -Сервис""",1632007877,А-05010414,4/7/2011,16
"Общество с ограниченной ответственностью ""Заман""",1632006601,А-05010318,12/11/2008,16
"Общество с ограниченной ответственностью ""Идиллия""",1632009521,А-05010455,7/19/2011,16
"Общество с ограниченной ответственностью ""Идиллия""",1632009521,А-05010470,8/11/2011,16
"Общество с ограниченной ответственностью ""Идиллия""",1632009521,А-05010481,9/22/2011,16
"Общество с ограниченной ответственностью ""Камелия""",1632009553,А-05010477,8/29/2011,16
"Общество с ограниченной ответственностью ""Катюша""",1632009497,А-05010452,7/11/2011,16
"Общество с ограниченной ответственностью ""Лука""",1632009698,А-05010488,10/13/2011,16
"Общество с ограниченной ответственностью ""Маркет""",1632009105,А-05010129,6/29/2006,16
"Общество с ограниченной ответственностью ""НУР плюс""",1632009585,А-05010462,7/22/2011,16
"Общество с ограниченной ответственностью ""Надежда""",1632009507,А-05010439,6/30/2011,16
"Общество с ограниченной ответственностью ""Родник""",1632008895,А-05010361,1/28/2010,16
"Общество с ограниченной ответственностью ""Родник""",1632008895,А-05010397,12/1/2010,16
"Общество с ограниченной ответственностью ""Родник""",1632008895,А-05010403,2/2/2011,16
"Общество с ограниченной ответственностью ""Саламат""",1632009137,А-05010121,6/28/2006,16
"Общество с ограниченной ответственностью ""Санта""",1632009031,А-05010120,6/28/2006,16
"Общество с ограниченной ответственностью ""Санта""",1632009031,А-05010120,11/23/2009,16
"Общество с ограниченной ответственностью ""Татьяна""",1632009120,А-05010438,6/30/2011,16
"Общество с ограниченной ответственностью ""Тургай""",1632009514,А-05010142,6/30/2006,16
"Общество с ограниченной ответственностью ""Чаллы""",1632007404,А-05010108,5/31/2006,16
"Общество с ограниченной ответственностью ""Чаллы""",1632007404,А-05010108,7/26/2007,16
"Общество с ограниченной ответственностью ""Чаллы""",1632007404,А-05010390,9/21/2010,16
"Общество с ограниченной ответственностью ""Шанс""",1632009458,А-05010178,7/10/2006,16
"Общество с ограниченной ответственностью ""ЯЛТЫН""",1632009754,А-05010232,10/31/2006,16
"Обществу с ограниченной ответственностью ""У Маши""",1632008623,А-05010422,5/4/2011,16
"Обществу с ограниченной ответственностью ""У Маши""",1632008623,А-05010458,7/20/2011,16
"Обществу с ограниченной ответственностью ""У Маши""",1632008623,А-05010506,12/16/2011,16
"ООО ""АЗАТ""",1633606016,А-05014046,9/15/2008,16
"ООО ""АЗАТ""",1633606016,А05013171,6/17/2011,16
"ООО ""АйК""",1657058880,А-05012595,6/1/2006,16
"ООО ""АйК""",1657058880,А-05012595,8/14/2008,16
"ООО ""Алкын""",1633606168,А-05014621,7/8/2008,16
"ООО ""Алкын""",1633606168,А-05014621,12/18/2008,16
