Реестр действующих лицензий на розничную продажу алкогольной продукции на 01.09.2012 года,,,,,,,,,,,,,,,,,,
№п/п,Наименование организациии,ИНН,КПП,Адрес юридический,Адрес осуществления вида деятельности,Код субъекта РФ,Регистрационный номер лицензии,Серия лицензии,Номер лицензии,"Дата выдачи (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, число, год)","Дата прекращения действия (месяц, число, год)","Дата аннулирования (месяц, число, год)",Руководитель организации,Контактный телефон,"Муниципальный орган, выдавший лицензию"
252,ООО «Мясная лавка Мецкер»,411131641,41101001,"РА г.Горно-Алтайск, пр.Коммунистический,159","РА г.Горно-Алтайск:  пр.Коммунистический, 159",,317-то,ГА,91,08.17.2012,07.25.2013,,,,,Мецкер Е.В.,8(38822)66670,"МО ""Город Горно-Алтайск"""
253,ООО «Домострой»,411111613,41101001,"РА г.Горно-Алтайск, ул.Турочакская,13","РА г.Горно-Алтайск:  пер. Колхозный, 40",,166-то,Г,75,12.21.2007,12.21.2012,,,,,Суртаева И.В.,8(38822)66556,"МО ""Город Горно-Алтайск"""
254,ООО «Бая»,411134321,41101001,"РА г.Горно-Алтайск, ул.Строителей, 19/1","РА г.Горно-Алтайск:  ул. Строителей,19/1",,168-то,Г,81,02.13.2008,02.13.2013,,,,,Салтанов И.А.,8(38822)61883,"МО ""Город Горно-Алтайск"""
255,ООО «Строй Гарант»,411125060,41101001,"РА г.Горно-Алтайск, ул.Строителей,12/2","РА г.Горно-Алтайск:  пр.Коммунистический, 68;пр. Коммунистический,53",,302-то,ГА,75,06.25.2012,03.17.2013,,,,,Болдырев Р.И.,8(38822)25899,"МО ""Город Горно-Алтайск"""
256,ООО «АНТ»,411137805,41101001,"РА г.Горно-Алтайск, ул.Чорос-Гуркина, 39/9","РА г.Горно-Алтайск:  ул.Чорос-Гуркина,39/9",,182-то,Г,103,1/11/2008,1/11/2013,,,,,Титова Н.В.,89039196323,"МО ""Город Горно-Алтайск"""
257,ООО «Карина»,411137121,41101001,"РА г.Горно-Алтайск, ул.Колхозная, 178","РА г.Горно-Алтайск:  ул.Колхозная,178;ул. Э.Палкина, 5; ул.Алтайская,3",,252-то,Г,851,05.31.2011,10.17.2013,,,,,Третьякова Н.А.,8(38822)66195,"МО ""Город Горно-Алтайск"""
258,ООО «СССР»,411139231,41101001,"РА г.Горно-Алтайск, ул.Ленина,220","РА г.Горно-Алтайск: ул.Ленина, 220; пр.Коммунистический, 71-73",,236-то,Г,756,10.28.2010,10.21.2013,,,,,Салманов С.Г. ,8(38822)44501,"МО ""Город Горно-Алтайск"""
259,ООО «Алтайпромлес»,411119098,41101001,"РА г.Горно-Алтайск, ул.Ленина,220","г.Горно-Алтайск пр.Коммунистический,39;пр.Коммунистический,69; ул. Чапаева, 111;ул. Чапаева, 152;",,285-то,ГА,57,12.26.2011,2/10/2013,,,,,Рязанов О.В.,8(38822)45005,"МО ""Город Горно-Алтайск"""
,,,,,"с.Алферово, ул. Центральная, 33",,,,,,,,,,,,,
260,ООО «Гевама»,411003752,41101001,"РА г.Горно-Алтайск, ул.Ленина,106","РА г.Горно-Алтайск, ул.Ленина,106",,248-то,Г,770,11.23.2011,11.23.2012,,,,,Андреева В.Н.,8(38822)25839,"МО ""Город Горно-Алтайск"""
261,ООО «Геостар»,411122277,41101001,"РА г.Горно-Алтайск, ул.Ленина,199","РА г.Горно-Алтайск; ул.Сосновая,2/1",,284-то,ГА,55,12.26.2011,06.26.2012,,,06.26.2012,,Кайгасова З.А.,8(38822)67607,"МО ""Город Горно-Алтайск"""
262,ООО «СемьЯ»,411147881,41101001,"РА г.Горно-Алтайск, пр.Коммунистический,176, 63 ","Майминский район, с. Майма, ул Подгорная, 28А; ул. Мира,5;ул. Ленина,67; пер.Трактовый,23;",,314-то,ГА,88,8/9/2012,01.19.2015,,,,,Сафронова С.П.,89631997276,"МО ""Город Горно-Алтайск"""
263,ООО «Дал плюс»,2204024363,220401001,"Алтайский край, г.Бийск, ул.Яминская,10А","РА г.Горно-Алтайск, ул. Ленина, 212;ул. Барнаульская,116; ул.Поселковая,1;ул.Алтайская,3;Майминский район с.Майма, ул. Ленина,12А;",,294-то,ГА,67,05.23.2012,05.13.2015,,,,,Пушкарев А.Л.,89059807876,"МО ""Город Горно-Алтайск"""
,,,,,"ул. Ленина, 67; ул.Энергетиков,2;ул. Ленина,80;ул. Зеленая,117/1; ул. Мира,11А;с.Кызыл-Озек,",,,,,,,,,,,,,
,,,,,"ул.Советская,21;ул. Советская,60А;с. Манжерок, ул. Дружбы, 38;ул. Пионерская,21;Чемальский р-он, с.Чемал, ул.Чемальская,8;с.Усть-Сема;с. Узнезя, с.Озеро-Куреево, ",,,,,,,,,,,,,
,,,,,"ул.Центральная,32",,,,,,,,,,,,,
264,ООО «Бизнес-Центр»,408017890,40801001,"РА Майминсий район, с.Майма, ул.Механизаторов,11","РА г. Горно-Алтайск,пр. Коммунистический, 88/1",,232-то,Г,751,6/12/2010,6/12/2015,,,06.28.2012,,Стригина А.М.,89039565757,"МО ""Город Горно-Алтайск"""
265,ООО «Риконт»,411151670,41101001,"РА г.Горно-Алтайск, ул.Поселковая,1","РА г. Горно-Алтайск,пер. Технологический,18; пр.Коммунистический,67; 86;176/2;139 ул.Алтайская,12;ул.Бийская, 36; ул.Поселковая,25;ул.Колхозная,52;ул.Ленина,228;  ",,318-то,ГА,92,08.23.2012,02.28.2015,,,,,Романович А.В.,89039195994,"МО ""Город Горно-Алтайск"""
,,,,,"с.Майма ул.Советская,121А;55;82;63;ул.Подгорная,34;ул.Ленина,34/1;16;ул.Папардэ,34/2;21/2; ул.Гидростроителей, б/н;ул.Юбилейная б/н;ул.Энергетиков,15;ул.Заводская,52;",,,,,,,,,,,,,
,,,,,"ул.Катунская,29; пер.Северный,11; ул.Механизаторов;ул.Строителей,3;с.К-Озек,ул.Титова, 2/1;ул.Советская 82;с.Бирюляул.Центральная, 27;",,,,,,,,,,,,,
,,,,,"с.Подгорное,ул.Набережная,34Б;с.Шебалино,ул.Советская,100;с.Барагаш,ул.Калинина,39А;с.К-Агач,ул.Советская,60;Чойский район, с.Паспаул,ул.Трактовая,11;",,,,,,,,,,,,,
,,,,,"с.Каракокша, ул.Тартыкова,26;с.Турочак,ул.Советская,32А;с.Иогач, ул.Лесная,22; с.Эликмонар,ул.Сакылова, 17а;с.Акташ, ул.ст.Мохова,22",,,,,,,,,,,,,
266,"ООО ""Пирамида""",401004771,40201001,"РА Улаганский район, с.Акташ, ул.Ленина,18","РА Улаганский район, с. Акташ, ул. Ленина,18  ",,6,ГА,696,06.21.2012,06.21.2015,,,,,Смотрова В.А.,8(38822)23156,"МО ""Улаганский район"""
267,"ООО ""Загадка""",401004997,40201001,"РА Улаганский район, с.Улаган, ул.Юбилейная, 30 ","РА Улаганский район c. Улаган, ул. Юбилейная, 30Б    ",,6,Г,2,07.27.2006,07.26.2012,,,,,Бадыкина С.В.,8(38846)22717,"МО ""Улаганский район"""
268,"ООО ""Алан""",401004980,40201001,"РА Улаганский район, с.Чибит, ул.Молодежная,28","РА Улаганский район: с. Акташ, ул.Ст.Мохова,16;с. Чибит, ул. Молодежная,28;с. Акташ, ул. Ст.Мохова, 13",,7,Г,3,1/8/2006,1/8/2012,,,,,Тойлонов Н.В.,8(38846)28339,"МО ""Улаганский район"""
269,"ООО ""Телец""",402023304,40201001,"РА Улаганский район, с.Акташ, ул.Южная,28/1","РА Улаганский район с. Акташ, ул. Южная, 39",,7,Г,5,09.15.2011,09.15.2012,,,,,Саймин Р.К.,8(38846)23608,"МО ""Улаганский район"""
270,"ООО ""Ирбис""",401004972,40201001,"РА Улаганский район, с.Акташ, ул.Южная,39","РА Улаганский район с. Балыктуюль, ул. Победы,17; ул. Центральная, 89",,9,Г,680,2/11/2006,2/11/2012,,,,,Уханова Е.К.,8(38846)24362,"МО ""Улаганский район"""
271,"ООО ""Белуха""",401005101,40201001,"РА Улаганский район, с.Улаган, ул.Санаа,5А","РА Улаганский район c. Улаган, ул. А.В. Санаа, 5А    ",,10,Г,8,9/11/2006,9/11/2012,,,,,Белеев А.Г.,8(38846)22599,"МО ""Улаганский район"""
272,"ООО ""Тандалай""",401004919,40201001,"РА Улаганский район, с.Улаган, ул. Санаа, 26А","РА Улаганский район c. Улаган, ул. А.В. Санаа, 26А ;    ",,11,Г,9,11.16.2006,11.16.2012,,,,,Танзаева А.А.,8(38846)22440,"МО ""Улаганский район"""
273,"ООО ""Эдельвейс""",401005327,40201001,"РА Улаганский район, с.Улаган, ул.Больничная,49А","РА Улаганский район c. Улаган, ул. Больничная, 49А    ",,1,ГА,691,02.24.2012,02.23.2014,,,,,Тазранов В.И.,8(38846)22527,"МО ""Улаганский район"""
274,"ООО ""Коммунальные системы""",401004588,40201001,"РА Улананский район, с.Акташ, ул.Пушкина,1 ","РА Улаганский район с. Акташ, ул. Ст.Мохова, 30; ул. Пушкина, 1",,2,ГА,692,2/4/2012,1/4/2013,,,,,Волынец В.В.,8(38846)23151,"МО ""Улаганский район"""
275,"ООО ""Алтын-Туу""",402000547,40201001,"РА Улаганский район, с.Балыкча, ур.Карагай ","РА Улаганский район с. Балыкча, ур. Карагай, Кемпинг ""Алтын-Туу""",,4,ГА,694,1/6/2012,1/9/2012,,,,,Ионко В.П.,83832239702,"МО ""Улаганский район"""
276,"ООО ""Рослав""",401005415,40201001,"РА Улаганский район, с.Акташ, ул.Ленина,26","РА Улаганский район с. Акташ, ул. Ленина, 26;Майминский район, с.Манжерок, ул.Дружбы, 28а",,3,ГА,693,10/5/2012,10/5/2012,,,,,Половникова Е.И.,8(38846)23805,"МО ""Улаганский район"""
277,"ООО ""Парламент""",401005447,40201001,"РА Улаганский район, с.Акташ, ул.Ст.Мохова,22","РА Улаганский район с. Акташ, ул. Ст. Мохова, 22  ",,20,Г,19,05.24.2007,05.23.2012,,,,,Жигулева С.Л.,8(38846)23816,"МО ""Улаганский район"""
278,"ЗАО ""Таежный залив""",411030266,40201001,"РА Улаганский район, Урочище Чири, усадьба Смирнова","РА Улаганский район с. Балыкча,ур. ""Карагай"" турбаза ""Карагай""",,21,Г,20,1/6/2007,05.31.2012,,,,,Вагин В.Ф.,89095089931,"МО ""Улаганский район"""
279,"ООО ""Белуха"" (Акташ)",401005430,40201001,"РА Улаганский район, с.Акташ, ул.Ленина,21","РА Улаганский район с. Акташ, ул. Ленина, 21",,5,ГА,695,4/6/2012,4/6/2013,,,,,Яковлева Л.В.,8(38846)23748,"МО ""Улаганский район"""
280,"ООО ""Кырсай""",401004965,40201001,"РА Улаганский район, с.Балыкча, ул.Центральная,18","РА Улаганский район с. Балыкча, турбаза ""Кырсай""с. Балыкча, ул. Центральная ,18",,23,Г,29,07.13.2007,12/6/2012,,,,,Тымыева Р.Н.,89609674066,"МО ""Улаганский район"""
281,"ООО ""Сибирячка""",401005454,40201001,"РА Улаганский район, с.Акташ, ул.Юбилейная, 20/4","РА Улаганский район с. Акташ, ул. Орджоникидзе, 26",,24,Г,23,3/7/2007,2/7/2012,,,,,Бутенко Т.Н.,8(38846)23894,"МО ""Улаганский район"""
282,"ООО ""Магнат""",401005486,40201001,"РА Улаганский район, с.Чибиля, ул.Центральная,5","РА Улаганский район с. Чибиля, ул. Центральная, 5",,25,Г,24,9/7/2007,8/7/2012,,,,,Тякова Н.Г.,8(38846)22115,"МО ""Улаганский район"""
283,"ООО ""Фаворит""",401006000,40201001,"РА Улаганский район, с.Акташ, ул.Ст.Мохова,13","РА Улаганский район с. Акташ, ул. Ст. Мохова, 13",,26,Г,27,2/11/2007,1/11/2012,,,,,Прокопьева Е.А.,89625829754,"МО ""Улаганский район"""
284,"ООО ""Форсаж""",401006049,40201001,"РА Улаганский район, с.Акташ, ул.Мира,27А","РА Улаганский район с. Акташ, ул. Мира, 27А",,27,Г,28,3/12/2007,2/12/2012,,,,,Семенова Н.К.,8(38846)23869,"МО ""Улаганский район"""
285,"ООО ""Ника-13""",401000720,40201001,"РА Улаганский район, с.Акташ, ул.Трудовая,19","РА Улаганский район с. Акташ, ул. Трудовая, 19 ",,9,Г,677,01.28.2010,01.27.2015,,,,,Стоянков А.В.,8(38846)23105,"МО ""Улаганский район"""
286,"ООО ""Абсолют""",401006828,40201001,"РА Улаганский район, с.Улаган, ул.Заречная,45А","РА Улаганский район с. Улаган, ул. Заречная, 45А",,10,Г,678,01.28.2010,01.27.2015,,,,,Тадышева А.Ф.,8(38846)22047,"МО ""Улаганский район"""
287,ООО « Алатау»,401005133,40101001,"РА Кош-Агачский район, с.Беляши, ул.Набережная,12","РА Кош-Агачский район, с.Беляши, ул. Набережная,12 ""Б""",,4,ГА,354,01.17.2012,01.17.2017,,,,,Манаспаева Т.К.,89133317104,"МО ""Кош-Агачский район"""
288,ООО «Сагал» ,401006120,40101001,"РА Кош-Агачский район, с.Кокоря, ул.Кокышева, 5","РА Кош-Агачский район, с.Кокоря ул. Кокышева, 5А",,25,Г,439,8/2/2008,8/2/2013,,,,,Тайлунова А.Б.,89136925982,"МО ""Кош-Агачский район"""
289,ООО «Ижен»,401004806,40101001,"РА Кош-Агачский район, с.Кош-Агач, ул.Кооперативная,36А","РА Кош-Агачский район, с.Кош-Агач: ул.Комсомольская, 3А; ул. Кооперативная,36А",,5,В,164,06.15.2006,1/6/2016,,,,,Малчинова Л.К.,89139989164,"МО ""Кош-Агачский район"""
290,"ООО ""Строй-стандарт""",401004370,40101001,"РА с.Кош-Агач, ул.Южная,9","РА Кош-Агачский район, с. Кощ-Агач, ул. Южная 9 А; с.Беляши,ул. Берсимбаева 46А",,28,Г,442,06.23.2010,06.23.2015,,,,,Салинчинов В.К.,89136967186,"МО ""Кош-Агачский район"""
291,ООО «Алена»,401001484,40101001,"РА Кош-Агачский район, с.Курай, ул.Набережная,3","РА Кош-Агачский район, с.Курай, ул.Набережная,3",,5,ГА,353,01.17.2012,01.17.2017,,,,,Очердякова Т.Т.,89136965168,"МО ""Кош-Агачский район"""
292,ООО « Айсауле»,401004845,40101001,"РА Кош-Агачский район, с.Кош-Агач, ул.Советская 61","Кош-Агачский район, с.Кош-Агач, Советская, 61, ул. Мелиоративная,5А, с.Тобелер, ул.40 лет Победы, 1А;с.Джазатор, ул.Наурызбая, 30/1;с.Ташанта, ул.Едильбаева,10",,7,ГА,351,12.23.2011,1/7/2016,,,,,Бегенов Б.Б.,8(38842)22663,"МО ""Кош-Агачский район"""
293,ООО « Азия»,401001361,40101001,"РА Кош-Агачский район, с.Кош-Агач, ул.Абая,4А","РА Кош-Агачский район, с.Кош-Агач, ул.Абая,4А",,291,ГА,352,12.23.2011,12.23.2016,,,,,Нуралинова А.А.,89139920289,"МО ""Кош-Агачский район"""
294,ООО «Чаганка» ,401005045,40101001,"РА Кош-Агачский район, с. Новый Бельтир, ул.Центральная б/н","РА Кош-Агачский район, с.Бельтир, ул. Тадырова 6",,11,ГА,355,7/3/2012,7/3/2017,,,,,Ефимова Е.Е.,89635116276,"МО ""Кош-Агачский район"""
295,"ООО ""Уют""",401007317,40101001,"РА с.Кош-Агач, ул.Гоголя,25А","РА Кош-Агачский район, с.Кош-Агач, ул. Гоголя, 25А",,26,Г,440,09.14.2009,09.14.2014,,,,,Бегенова Л.А.,89069708292,"МО ""Кош-Агачский район"""
296,"ООО ""Малиновый звон""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",401005567,40101001,"РА Кош-Агачский район, с.Чаган-Узун, ул.Колхозная,14","РА Кош-Агачский район, с. Чаган-Узун, ул.Колхозная,14; с. Кош-Агач, ул.Луговая,51",,24,Г,438,10.31.2007,10.31.2012,,,,,Есимова Г.К.,89139989163,"МО ""Кош-Агачский район"""
297,ООО «Айас-Сервис» ,401005158,40101001,"РА Кош-Агачский р-он, с.Чаган-Узун, ул.Набережная,3","РА Кош-Агачский район,с.Чаган-Узун",,12,Г,425,6/11/2007,6/11/2012,,,,,Табыкинов А.Г.,89039195704,"МО ""Кош-Агачский район"""
298,ООО «Агростроинжи-ниринг»,401005140,40101001,"РА Кош-Агачский район, с.Жана-Аул, ул.Чакирт-Кажы,15","РА Кош-Агачский район, с.Жана-Аул,ул.Чакырт-Кажы,15",,13,Г,426,11.26.2007,11.26.2012,,,,,Рахимова А.А.,89136927564,"МО ""Кош-Агачский район"""
299,"ООО ""Чуя-строй""",401004267,40101001,"РА Кош-Агачский район, с.Кош-Агач, ул.Кооперативная,65","РА Кош-Агачский район, с. Кош-Агач. ул. Кооперативная,65",,28,Г,442 ,7/12/2009,7/12/2014,,,,,Бегимбеков А.К.,8(38822)22576,"МО ""Кош-Агачский район"""
300,ООО «Турар» ,401005197,40101001,"РА Кош-Агачский район, с.Тобелер, ул.Кожабаева,15","РА Кош-Агачский район, с.Тобелер,ул.Кожабаева,15",,15,Г,429,12.18.2007,12.18.2012,,,,,Нурсалиев К.Т.,8(38842)26334,"МО ""Кош-Агачский район"""
301,ООО « Айгерим» ,401005165,40101001,"РА Кош-Агачский район, с.Мухор-Тархата, ул.Бухарова,10","РА Кош-Агачский район,с. Мухор-Тархата, ул.Бухарова,10 ",,17,Г,430,12.22.2006,12.21.2012,,,,,Серикпаев Е.К.,89136930437,"МО ""Кош-Агачский район"""
302,ООО « Родник»,401005285,40101001,"РА Кош-Агачский район, с.Кош-Агач, ул.Гоголя,25","РА Кош-Агачский район,с.Кош-Агач, ул. Гоголя, 25А; Пограничная 24 Б",,19,Г,435,12.25.2007,12.25.2012,,,,,Кожанов В.С.,89139989509,"МО ""Кош-Агачский район"""
303,ООО « Радуга»,401005260,40101001,"РА Кош-Агачский район, с.Курай, ул.Геологическая,1А","РА Кош-Агачский район, с.Курай, ул. Геологическая,1А",,18,Г,436,12.25.2006,12.25.2012,,,,,Акчинова М.О.,89136987375,"МО ""Кош-Агачский район"""
304,"ООО ""Чаганка""",40100504,40101001,"РА Кош-Агачский район, с.Новый Бельтир, ул.Лапшина, 3А","РА Кош-Агачский район, с.Новый Бельтир, ул.Лапшина, 3А ",,16,ГА,355,09.20.2006,09.20.2012,,,,,Ефимова Е.Е.,89635116276,"МО ""Кош-Агачский район"""
305,"ООО ""Али""",401004732,40101001,"РА Кош-Агачский район, с.Кош-Агач, ул.Советская,24","РА Кош-Агачский район, с.Кош-Агач, ул.Советская, 24; ул.Кооперативная, 50Б ",,20,ГА,356,10/5/2012,10/5/2017,,,,,Мукатаева Э.К.,89136914206,"МО ""Кош-Агачский район"""
306,"ООО ""Континент""",401006024,40101001,"РА Кош-Агачский район, с.Кош-Агач, ул.Энергетиков, 2А","РА Кош-Агачский район, с.Кош-Агач, ул.Энергетиков, 2А",,15,ГА,357,12/5/2012,12/5/2017,,,,,Баушинов Е.А.,89136934889,"МО ""Кош-Агачский район"""
