Реестр выданных лицензий ,,,,,,,,,,
на осуществление розничной продажи алкогольной продукции  действующих на  02.07.2012 г.,,,,,,,,,,
,,,,,,,,,,
№,О лицензиате,ИНН / ОГРН,Дата выдачи лицензии,"Серия, регистр.№",Срок действия лицензии,Адреса территориально обособленных объектов,сведения о действии лицензии,Примечание,Лицензирующий орган,
,,,,,,"11)Тюменская область, Ярковский район, д. Карбаны, ул. Школьная, д. 1, магазин (открыт 20.07.08)
12)Тюменская область, Ярковский район, с. Гилево, ул. Микрорайон, д. 18 А, магазин (открыт 20.07.08)
",,,,
,,,,,,"13)Тюменская область, Ярковский район, с. Иевлево, ул. Октярьская, д. 20, магазин (открыт 20.07.08)
",,,,
118,"ООО ""Животновод"", юр.адрес: 626372, Тюменская область, Исетский район, с. Шорохово, ул. Калинина, д. 9
руков.:Коргин Г.Ф., тел. (34537) 27-158",ИНН 7216001200  ОГРН 1027201464553,28/07/2005,72-РАП №2615,27/07/2013,"1)Тюменская область, Исетский район, с. Шорохово, ул. Полевая, д. 2-а, закусочная ""Уют"" (общепит) (открыт 28.07.05)
2)Исетский район, с. Шорохово, ул. Калинина, д. 8, помещение 3, магазин ""Смешанные товары"" (открыт 28.07.08)
",продлена реш. №494 от 31/07/2008  до 27/07/2013, Прим: Дата проверки 31.03.2009 (замечание),Управление Л и РПР ТО,
,,,,,,,,,,
119,"ООО ""Миллениум-М"", юр.адрес: 625037, Россия, г. Тюмень, ул. Клары Цеткин, д. 17-а
руков.:Володина Л.Г., тел. 43-57-69  43-31-98",ИНН 7204037851  ОГРН 1027200855835,23/08/2005,72-РАП №2660,22/08/2013,"1)г. Тюмень, ул. Клары Цеткин, д. 17-а, магазин, ""Миллениум""  (открыт 23.08.05)
",продлена реш. №525 от 13/08/2008  до 22/08/2013, Прим: Дата проверки 03.04.07 (отбор проб) 2.Дата проверки 20.05.10 (без нарушений),Управление Л и РПР ТО,
120,"ООО ""Лихт"", юр.адрес: 625017, Тюменская область, г. Тюмень, ул. Аккумуляторная, д. 1, строение 2
руков.:Ученов В.А., тел. 24-43-02",ИНН 7204024250  ОГРН 1027200813342,23/08/2005,72-РАП №2645,22/08/2013,"1)г. Тюмень, ул. Ямская, д. 52/3, магазин ""Лагуна""  (открыт 23.08.05)
",продлена реш. №575 от 18/08/2008  до 22/08/2013, Прим: Дата проверки 22.03.07 (отбор проб)  2. Дата проверки 01.04.10 (без нарушений),Управление Л и РПР ТО,
121,"ПО ""Вагайское"", юр.адрес: 627060, Тюменская область, Омутинский район, с. Вагай, ул. Ленина, д. 155
руков.:Эргардт Е.В., тел. (34544)  25-414",ИНН 7220000070  ОГРН 1027201675434,05/10/2005,72-РАП №2722,04/10/2013,"1)Тюменская область, Омутинский район, с. Вагай, ул. Ленина, д. 2-а, магазин № 1 (открыт 05.10.05)
2)Тюменская область, Омутинский район, с. Вагай, ул. Ленина, д. 46-а, магазин № 2 (открыт 05.10.05)
",продлена реш. №681 от 01/10/2008  до 04/10/2013,,Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Омутинский район, д. Вагайская, ул. Мира, д. 34-а, магазин № 3 (открыт 05.10.05)
4)Тюменская область, Омутинский район, д. Крутинская, ул. Советская, д. 17, магазин № 4 (открыт 05.10.05)
",,,,
,,,,,,"5)Тюменская область, Омутинский район, с. Вагай, ул. Ленина, д. 155, магазин № 7 (открыт 05.10.05)
, объект закрыт решением №681 от 01/10/20086)Тюм.обл, Омутинский район, д. Большекрутинская, ул. Центральная, д. 25, магазин № 9 (открыт 05.10.05)
",,,,
,,,,,,"7)Тюменская область, Омутинский район, с. Зимовье-Вагай, ул. Ленина, д. 50-б, магазин № 11 (открыт 05.10.05)
8)Тюменская область, Омутинский район, д. Новодеревенская, ул. Первомайская, д. 33, магазин № 12 (открыт 05.10.05)
",,,,
,,,,,,"9)Тюменская область, Омутинский район, д. Свобода, ул. Мира, д. 35, магазин № 14 (открыт 05.10.05)
10)Тюменская область, Омутинский район, с. Южно-Плетнево, ул. Строителей, д. 4, магазин № 16 (открыт 05.10.05)
",,,,
,,,,,,"11)Тюменская область, Омутинский район, д. Малая Крутая, ул. Центральная, д. 42, магазин № 10 (открыт 05.10.08)
12)Тюменская область, Омутинский район, с. Вагай, ул. Ленина, д. 87, магазин № 6 (открыт 05.10.08)
",,,,
,,,,,,,,,,
122,"ООО ""КОСМОС-М"", юр.адрес: 625051, Тюменская область, г. Тюмень, ул. 30 лет Победы, д. 86
руков.:Коновалова Н.А., тел. 33-08-87  35-02-20",ИНН 7203157680  ОГРН 1057200581382,21/10/2005,72-РАП №2749,20/10/2013,"1)г. Тюмень, ул. 30 лет Победы, д. 86, магазин ""Продукты"" (открыт 21.10.05)
",продлена реш. №697 от 16/10/2008  до 20/10/2013, Прим: Дата проверки 11.04.07 (отбор проб) 2.Дата проверки 19.05.10 (без нарушений),Управление Л и РПР ТО,
123,"ООО ""Фирст"", юр.адрес: г. Тюмень, ул. Кирова, д. 26
руков.:Усольцева Е.С., тел. 46-11-05  74-25-35",ИНН 7202139720 ОГРН 1057200825087,28/10/2005,72-РАП №2755,27/10/2013,"1)г. Тюмень, ул. Кирова, д. 24, магазин ""Смак"" (открыт 30.01.08)
",продлена реш. №703 от 27/10/2008  до 27/10/2013, Прим: Дата проверки 31.01.2007 (отбор проб)  2.Дата проверки 27.10.2008 (отбор проб),Управление Л и РПР ТО,
124,"ФБУ ""Центр реабилитации ФСС Российской Федерации ""Тараскуль"", юр.адрес: Россия, 625058, Тюменская область, г. Тюмень, п. Тараскуль, ул. Санаторная, д. 10
руков.:Мальцев С.В., тел. 39-57-64   77-87-69",ИНН 7204013642  ОГРН 1027200784654,03/11/2005,72-РАП №2756,02/11/2013,"1)г. Тюмень, п. Тараскуль, ул. Санаторная, д. 10, строение 1, бар ""ВОК""  (общепит)  (открыт 03.11.05)
2)г. Тюмень, п. Тараскуль, ул. Санаторная, д. 10, строение 3, ресторан ""Зодиак""  (общепит)  (открыт 03.11.05)
",продлена реш. №710 от 28/10/2008  до 02/11/2013, Прим: Переоформление в связи с изменением юр.адреса (реш.508 от 08.08.08)  2.Изменение наименования организации реш.№64 от 08.02.12,Управление Л и РПР ТО,
